date,m_confirmed,m_death,f_confirmed,f_death
2020-04-02,3905,82,5881,80
2020-04-07,4138,101,6193,91
2020-04-08,4163,106,6221,94
2020-04-09,4185,107,6238,97
2020-04-10,4200,109,6250,99
2020-04-11,4215,111,6265,100
2020-04-12,4229,113,6283,101
2020-04-13,4243,115,6294,102
2020-04-14,4256,116,6308,106
2020-04-15,4266,118,6325,107
2020-04-16,4272,122,6341,107
2020-04-17,4286,122,6349,108
2020-04-18,4293,124,6360,108
2020-04-19,4297,124,6364,110
2020-04-20,4302,125,6372,111
2020-04-21,4308,125,6375,112
2020-04-22,4314,126,6380,112
2020-04-23,4318,127,6384,113
2020-04-24,4323,127,6385,113
2020-04-25,4327,127,6391,113
2020-04-26,4333,127,6395,115
2020-04-27,4337,127,6401,116
2020-04-28,4344,128,6408,116
2020-04-29,4348,129,6413,117
2020-04-30,4352,130,6413,117
2020-05-01,4356,130,6418,118
2020-05-02,4362,130,6418,120
2020-05-03,4369,130,6424,120
2020-05-04,4375,131,6426,121
2020-05-05,4377,131,6427,123
2020-05-06,4379,132,6427,123
2020-05-07,4382,133,6428,123
2020-05-08,4389,133,6433,123
2020-05-09,4406,133,6434,123
2020-05-10,4430,133,6444,123
2020-05-11,4461,133,6448,123
2020-05-12,4481,133,6455,125
2020-05-13,4499,134,6463,125
2020-05-14,4516,135,6475,125
2020-05-15,4532,135,6486,125
2020-05-16,4544,136,6493,126
2020-05-17,4549,136,6501,126
2020-05-18,4560,137,6505,126
2020-05-19,4569,137,6509,126
2020-05-20,4592,137,6518,126
2020-05-21,4601,138,6521,126
2020-05-23,4628,140,6537,126
2020-05-24,4643,140,6547,126
2020-05-25,4651,141,6555,126
2020-05-26,4664,142,6561,127
2020-05-27,4680,142,6585,127
2020-05-28,4727,142,6617,127
2020-05-29,4759,142,6643,127
2020-05-30,4780,142,6661,127
2020-05-31,4795,143,6673,127
2020-06-02,4829,144,6712,128
2020-06-03,4852,145,6738,128
2020-06-04,4872,145,6757,128
2020-06-05,4893,145,6775,128
2020-06-06,4920,145,6799,128
2020-06-07,4950,145,6826,128
2020-06-08,4962,145,6852,128
2020-06-09,4980,146,6872,128
2020-06-10,5002,147,6900,129
2020-06-11,5030,147,6917,129
2020-06-12,5030,147,6917,129
2020-06-13,5081,147,6970,130
2020-06-14,5097,147,6988,130
2020-06-16,5138,148,7017,130
2020-06-17,5156,149,7042,130
2020-06-18,5181,150,7076,130
2020-06-19,5206,150,7100,130
2020-06-20,5245,150,7128,130
2020-06-21,5270,150,7151,130
2020-06-22,5279,150,7159,130
2020-06-23,5314,150,7170,151
2020-06-24,5345,150,7190,131
2020-06-25,5360,151,7203,131
2020-06-26,5384,151,7218,131
2020-06-27,5412,151,7241,131
2020-06-28,5450,151,7265,131
2020-06-29,5470,151,7287,131
2020-06-30,5495,151,7305,131
2020-07-01,5495,151,7305,131
2020-07-02,5555,151,7349,131
2020-07-03,5587,151,7380,131
2020-07-04,5625,151,7405,132
2020-07-05,5657,151,7434,132
2020-07-06,5682,151,7455,133
2020-07-07,5703,152,7478,133
2020-07-08,5738,152,7506,133
2020-07-09,5766,153,7527,134
2020-07-10,5802,153,7536,135
2020-07-11,5824,153,7549,135
2020-07-12,5856,153,7561,136
2020-07-13,5895,153,7584,136
2020-07-14,5911,153,7601,136
2020-07-15,5944,153,7607,136
2020-07-16,5911,154,7601,137
2020-07-17,6026,154,7646,139
2020-07-18,6049,155,7662,139
2020-07-19,6070,155,7675,140
2020-07-20,6089,156,7682,140
2020-07-21,6114,156,7702,140
2020-07-22,6153,157,7726,140
2020-07-23,6192,157,7746,140
2020-07-24,6215,158,7764,140
2020-07-25,6311,158,7781,140
2020-07-26,6360,158,7790,140
2020-07-27,6372,158,7803,141
2020-07-28,6394,159,7809,141
2020-07-29,6426,159,7825,141
2020-07-30,6439,159,7830,141
2020-07-31,6463,160,7842,141
2020-08-01,6486,160,7850,141
2020-08-02,6507,106,7859,94
2020-08-03,6522,160,7867,141
2020-08-04,6545,160,7878,141
2020-08-05,6568,160,7888,142
2020-08-06,6602,160,7897,142
2020-08-07,6615,160,7904,143
2020-08-08,6638,161,7924,143
2020-08-09,6655,162,7943,143
2020-08-10,6669,162,7957,143
2020-08-11,6689,162,7971,143
2020-08-12,6723,162,7991,143
2020-08-13,6754,162,8016,143
2020-08-14,6805,162,8068,143
2020-08-15,6875,162,8164,143
2020-08-16,6977,162,8341,143
2020-08-17,7052,162,8463,143
2020-08-18,7142,163,8619,143
2020-08-19,7251,163,8807,143
2020-08-20,7384,163,8962,144
2020-08-21,7532,163,9138,146
2020-08-22,7677,163,9325,146
2020-08-23,7834,163,9565,146
2020-08-24,7952,163,9713,146
2020-08-25,8089,164,9856,146
2020-08-26,8234,165,10031,147
2020-08-27,8441,165,10265,148
2020-08-28,8616,167,10461,149
2020-08-29,8757,170,10643,151
2020-08-30,8911,172,10788,151
2020-08-31,9025,172,10922,152
2020-09-01,9139,172,11043,152
2020-09-02,9272,173,11177,153
2020-09-03,9359,174,11285,155
2020-09-04,9453,175,11389,156
2020-09-05,9535,176,11475,157
2020-09-06,9614,176,11563,158
2020-09-07,9680,178,11616,158
2020-09-08,9753,181,11679,160
2020-09-09,9829,182,11759,162
2020-09-10,9905,183,11838,163
2020-09-11,9982,185,11937,165
2020-09-12,10063,186,11992,169
2020-09-13,10063,186,11992,169
2020-09-14,10177,190,12108,173
2020-09-15,10225,192,12166,175
2020-09-16,10292,192,12212,175
2020-09-17,10366,195,12291,177
2020-09-18,10423,198,12360,179
2020-09-19,10468,199,12425,179
2020-09-20,10468,199,12425,179
2020-09-21,10552,202,12493,183
2020-09-22,10589,203,12517,185
2020-09-23,10648,203,12568,185
2020-09-24,10713,207,12628,186
2020-09-25,10767,208,12688,187
2020-09-26,10792,211,12724,188
2020-09-27,10834,213,12777,188
2020-09-28,10860,216,12801,190
2020-09-29,10887,216,12812,191
2020-09-30,10964,217,12848,196
2020-10-01,11007,219,12882,196
2020-10-02,11045,220,12907,196
2020-10-03,11092,224,12935,196
2020-10-04,11132,225,12959,196
2020-10-05,11179,226,12985,196
2020-10-06,11229,226,13010,196
2020-10-07,11282,227,13071,198
2020-10-08,11321,229,13101,198
2020-10-10,11389,230,13159,200
2020-10-11,11423,231,13183,201
2020-10-12,11479,231,13224,202
2020-10-13,11543,232,13262,202
2020-10-14,11594,233,13295,205
2020-10-15,11615,233,13373,206
2020-10-16,11636,234,13399,207
2020-10-17,11662,235,13446,208
2020-10-18,11711,235,13488,209
2020-10-19,11745,235,13530,209
2020-10-20,11783,237,13550,210
2020-10-21,11830,240,13594,210
2020-10-22,11889,241,13654,212
2020-10-23,11962,242,13736,213
2020-10-24,12003,244,13772,213
2020-10-25,12029,244,13807,213
2020-10-26,12080,244,13875,213
2020-10-27,12121,246,13922,214
2020-10-28,12167,247,13979,214
